wpi_number,name,lat,lon,type
16980.0,The Dalles,45.6,-121.183333,port
3580.0,Trenton,42.133333,-83.166667,port
4030.0,Parry Sound,45.333333,-80.033333,port
3270.0,Port Dover,42.783333,-80.2,port
17020.0,Raymond,46.683333,-123.733333,port
3260.0,Port Maitland,42.85,-79.58333299999998,port
2940.0,Trenton,44.1,-77.56666699999998,port
5290.0,Presque Isle,46.566667,-87.38333299999998,port
7280.0,Plymouth,41.95,-70.666667,port
3092.0,Thorold,43.083333,-79.716667,port
2880.0,Picton,44.016667,-77.13333299999998,port
3110.0,Queenston,43.166667,-79.06666699999998,port
3650.0,Walpole Island,42.616667,-82.516667,port
16810.0,Waldport,44.433333,-124.066667,port
16790.0,Winchester Bay,43.683333,-124.183333,port
3420.0,Tonawanda,43.033333,-78.88333299999998,port
2030.0,Rimouski,48.45,-68.516667,port
3390.0,Windsor,42.316667,-83.033333,port
3890.0,Thornbury,44.566667,-80.45,port
3930.0,Penetanguishene,44.766667,-79.933333,port
17320.0,Winslow,47.616667,-122.516667,port
18705.0,Port San Juan,48.55,-124.433333,port
5440.0,Port Wing,46.783333,-91.383333,port
17940.0,Roche  Harbor,48.616667,-123.166667,port
18660.0,Sidney,48.65,-123.383333,port
17040.0,Westhaven Cove,46.916667,-124.116667,port
4850.0,Racine,42.733333,-87.783333,port
5400.0,Washburn,46.666667,-90.883333,port
3530.0,Sandusky,41.45,-82.716667,port
4500.0,Rogers City,45.45,-83.81666699999998,port
2990.0,Port Whitby,43.85,-78.933333,port
8320.0,Richmond,37.533333,-77.416667,port
4350.0,Port Huron,43.0,-82.433333,port
17730.0,Seattle,47.6,-122.333333,port
4430.0,Tawas City,44.266667,-83.5,port
7260.0,Quincy,42.25,-70.966667,port
3950.0,Tiffin,44.75,-79.84999999999998,port
7290.0,Provincetown,42.05,-70.183333,port
4720.0,Saugatuck,42.666667,-86.2,port
9260.0,Palacios,28.683333,-96.216667,port
5470.0,Two Harbors,47.016667,-91.65,port
17030.0,Willapa Harbor,46.683333,-123.75,port
